ags5,date,ground_truth,pred,error
1061,7/31/2018,5.7,5.6311803,0.068819714
1061,8/31/2018,5.8,5.698281,0.101719189
1061,9/30/2018,5.5,5.661739,0.161738873
1061,10/31/2018,5.3,5.4033513,0.103351307
1061,11/30/2018,5.2,5.3262496,0.126249599
1061,12/31/2018,5.2,5.4125323,0.21253233
1061,1/31/2019,5.6,5.458555,0.141444778
1061,2/28/2019,5.3,5.4887476,0.188747597
1061,3/31/2019,5.4,5.5372753,0.137275314
1061,4/30/2019,5.1,5.3014407,0.201440716
1061,5/31/2019,5.2,5.188937,0.011062813
1061,6/30/2019,5,5.267056,0.267055988
1061,7/31/2019,5.1,5.267104,0.167104149
1061,8/31/2019,5.1,5.339489,0.239488983
1061,9/30/2019,4.8,5.2412777,0.441277695
1061,10/31/2019,4.9,4.9090085,0.009008503
1061,11/30/2019,4.6,4.945548,0.345548058
1061,12/31/2019,4.7,4.992661,0.292660999
1062,1/31/2018,3.5,3.4219332,0.078066826
1062,2/28/2018,3.4,3.4726148,0.072614765
1062,3/31/2018,3.3,3.41997,0.119970036
1062,4/30/2018,3.3,3.2974868,0.002513218
1062,5/31/2018,3.1,3.1880324,0.088032389
1062,6/30/2018,3,3.2121942,0.212194204
1062,7/31/2018,3.3,3.1433365,0.156663465
1062,8/31/2018,3.3,3.2137375,0.086262512
1062,9/30/2018,3,3.2036564,0.203656435
1062,10/31/2018,3.1,3.052889,0.047110891
1062,11/30/2018,3,3.0470476,0.047047615
1062,12/31/2018,2.9,3.1526673,0.252667284
1062,1/31/2019,3.2,3.1050515,0.094948483
1062,2/28/2019,3.1,3.109694,0.009694004
1062,3/31/2019,3.1,3.169185,0.069184923
1062,4/30/2019,3,3.0227993,0.022799253
1062,5/31/2019,3,2.9416878,0.058312178
1062,6/30/2019,3,3.038094,0.038094044
1062,7/31/2019,3.1,3.034442,0.065558052
1062,8/31/2019,3.1,3.0416493,0.058350658
1062,9/30/2019,3,2.9986668,0.001333237
1062,10/31/2019,3,2.9294038,0.070596218
1062,11/30/2019,3,2.8993912,0.100608826
1062,12/31/2019,3.1,2.9005268,0.199473238
2000,1/31/2018,6.8,6.6981497,0.101850319
2000,2/28/2018,6.7,6.748133,0.048133183
2000,3/31/2018,6.6,6.7446017,0.144601727
2000,4/30/2018,6.5,6.608576,0.108575821
2000,5/31/2018,6.2,6.486992,0.286991882
2000,6/30/2018,6.1,6.526265,0.426265144
2000,7/31/2018,6.3,6.374526,0.074526024
2000,8/31/2018,6.5,6.4094567,0.09054327
2000,9/30/2018,6.2,6.398682,0.198682117
2000,10/31/2018,6.1,6.1839876,0.083987617
2000,11/30/2018,6,6.1836867,0.183686733
2000,12/31/2018,5.9,6.238816,0.338815784
2000,1/31/2019,6.3,6.205133,0.094867039
2000,2/28/2019,6.2,6.2463393,0.046339321
2000,3/31/2019,6.1,6.2785826,0.178582573
2000,4/30/2019,6,6.0901566,0.090156555
