ags5,date,ground_truth,pred,error,mape
05958,2021-02-28,4.8,4.8737404203842205,0.07374042038422068,0.015362587580045977
05958,2021-03-31,4.5,4.824527769286129,0.3245277692861288,0.07211728206358418
05958,2021-04-30,4.4,4.891718235624366,0.4917182356243659,0.11175414446008315
05962,2021-02-28,7.5,7.582777857926227,0.08277785792622705,0.01103704772349694
05962,2021-03-31,7.3,7.521996015255558,0.22199601525555845,0.030410413048706637
05962,2021-04-30,7.2,7.82682834413398,0.6268283441339797,0.08705949224083051
05966,2021-02-28,4.5,4.55254470041223,0.052544700412229695,0.0116766000916066
05966,2021-03-31,4.3,4.548551545079598,0.2485515450795983,0.05780268490223217
05966,2021-04-30,4.1,4.635598465318307,0.5355984653183077,0.13063377202885554
05970,2021-02-28,6.0,5.982138694162905,0.01786130583709511,0.002976884306182518
05970,2021-03-31,5.8,6.034414110830114,0.2344141108301141,0.04041622600519209
05970,2021-04-30,5.8,6.17269928660124,0.3726992866012404,0.06425849768986903
05974,2021-02-28,6.0,6.041452745445792,0.041452745445791805,0.006908790907631968
05974,2021-03-31,5.8,5.992702704640686,0.19270270464068595,0.03322460424839413
05974,2021-04-30,5.7,6.096862425646644,0.39686242564664376,0.06962498695555154
